Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
Ubicación Ideal Confort París,"- Cocina
- Wifi
- TV
- Ascensor
- Lavadora
- Bañera
- Patio privado o balcón
- Secador de pelo
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,174,,,,87,,,,65,,,,33,,,,48.8886,2.3601,https://www.airbnb.es/rooms/1326708226319881902?adults=2&check_in=2025-12-19&check_out=2025-12-21&search_mode=regular_search&source_impression_id=p3_1751713841_P3Vna6aw86dzjlGg&previous_page_section_name=1000
Estudio Saint-Sulpice,"- Cocina
- Wifi
- Zona para trabajar
- TV
- Se permite dejar el equipaje
- Secador de pelo
- Disponible para estancias largas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",11,236,,,,118,,,,75,,,,38,,,,48.8469,2.3212,https://www.airbnb.es/rooms/1436079865756676566?adults=2&check_in=2025-12-19&check_out=2025-12-21&search_mode=regular_search&source_impression_id=p3_1751713841_P3rD3vgXd7LcqIWK&previous_page_section_name=1000
Estudio Cerca De París,"- Cocina
- Wifi rápido (344 Mbps)
- Aparcamiento gratuito en la calle
- Televisión de alta definición con canales por cable premium
- Lavadora en el alojamiento (Gratis)
- Se permite dejar el equipaje
- Secador de pelo
- Frigorífico
- Microondas
- Disponible para estancias largas",10,151,,,,76,,,X,50,,,,25,,,,48.9309,2.3643,https://www.airbnb.es/rooms/824033184640441726?adults=2&check_in=2025-12-19&check_out=2025-12-21&search_mode=regular_search&source_impression_id=p3_1751713841_P3eucSVWZYserLk3&previous_page_section_name=1000
Habitación Con Encanto En Grd Apart. Barrio Animado,"- Cerradura en la puerta del dormitorio
- Cocina
- Wifi
- Ascensor
- Lavadora
- Se permite dejar el equipaje
- Secador de pelo
- Frigorífico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,171,,,,86,,,,64,,,,32,,,,48.8542994,2.3879828,https://www.airbnb.es/rooms/1370196216805870144?adults=2&check_in=2025-12-19&check_out=2025-12-21&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2101558085&source_impression_id=p3_1751713841_P3jZ7No7H3tD_jal&previous_page_section_name=1000
El Pequeño Nido De Léon Gambetta,"- Cocina
- Wifi
- Zona para trabajar
- TV
- Ascensor
- Lavadora
- Secadora en el alojamiento (Gratis)
- Secador de pelo
- Frigorífico
- Microondas",10,243,,,,122,,,,91,,,,46,,,,48.8669,2.3967,https://www.airbnb.es/rooms/984678720175201504?adults=2&check_in=2025-12-19&check_out=2025-12-21&search_mode=regular_search&source_impression_id=p3_1751713841_P3RDqPTUStJtfTrJ&previous_page_section_name=1000
Estudio Con Jardín Muy Cerca De París,"- Vistas al jardín
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- Admite mascotas
- Televisión de alta definición con Amazon Prime Video
- Apple TV
- Netflix
- televisión por cable estándar
- Patio trasero privado: Con valla en todo el perímetro
- Se permite dejar el equipaje
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono",14,152,,,,76,,,X,58,,,,29,,,,48.78584,2.31593,https://www.airbnb.es/rooms/582493598679740585?adults=2&check_in=2025-12-19&check_out=2025-12-21&search_mode=regular_search&source_impression_id=p3_1751713841_P3RAEnaoKAroUmZz&previous_page_section_name=1000
Increíble Estudio En El Mejor Lugar,"- Cocina
- Wifi
- Zona para trabajar
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",7,236,,,,118,,,,62,,,,31,,,,48.8451,2.3186,https://www.airbnb.es/rooms/1243575232828788876?adults=2&check_in=2025-12-19&check_out=2025-12-21&search_mode=regular_search&source_impression_id=p3_1751713841_P3WSJBTcMx10fjAE&previous_page_section_name=1000
Estudio Privado En París,"- Cocina
- Wifi
- Admite mascotas
- TV
- Secador de pelo
- Apto para fumadores
- No disponible: Cerradura en la puerta del dormitorio
Cerradura en la puerta del dormitorio
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,187,,,,94,,,,70,,,,35,,,,48.8798,2.3719,https://www.airbnb.es/rooms/1206415212780912103?adults=2&check_in=2025-12-19&check_out=2025-12-21&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2157488788&source_impression_id=p3_1751713841_P3U4R8X1SF1q6X5E&previous_page_section_name=1000
Acogedor Estudio En El Corazón De París 9,"- Cocina
- Wifi
- Zona para trabajar
- Secador de pelo
- Aparcamiento de pago en la calle fuera de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",9,227,,,X,114,,,,85,,,X,43,,,X,48.8741,2.3436,https://www.airbnb.es/rooms/1039990330879622076?adults=2&check_in=2025-12-19&check_out=2025-12-21&search_mode=regular_search&source_impression_id=p3_1751713841_P3bVbhFcmJ8aViP0&previous_page_section_name=1000
Estudio Nuevo Y Equipado - Corazón De París- Bolsa,"- Cocina
- Wifi
- TV
- Secador de pelo
- Frigorífico
- Microondas",6,313,,,,157,,,,117,X,,,59,X,,,48.8705,2.3406,https://www.airbnb.es/rooms/1205697200341222169?adults=2&check_in=2025-12-19&check_out=2025-12-21&search_mode=regular_search&source_impression_id=p3_1751713841_P3FZutHukIIzzw4A&previous_page_section_name=1000
